source,target,weight
398,377,0.005
398,395,0.008
403,404,0.01
404,371,0.014
404,444,0.016
406,407,0.015
407,403,0.017
408,405,0.013
408,409,0.008
408,466,0.023
409,413,0.011
410,416,0.009
412,411,0.003
413,406,0.01
413,410,0.008
415,412,0.006
415,414,0.002
416,442,0.003
420,419,0.002
420,430,0.009
422,423,0.004
424,558,0.004
425,424,0.002
426,372,0.008
427,373,0.012
428,427,0.019
428,429,0.011
430,378,0.008
430,435,0.005
431,425,0.005
432,515,0.031
434,436,0.021
436,335,0.014
436,379,0.022
437,355,0.005
439,384,0.006
441,415,0.004
442,441,0.002
443,368,0.018
444,399,0.013
445,375,0.025
446,340,0.01
447,421,0.008
447,422,0.005
448,420,0.013
449,446,0.004
450,353,0.006
451,450,0.006
453,438,0.0
453,439,0.006
454,386,0.023
455,432,0.022
456,464,0.02
457,456,0.009
458,459,0.018
459,445,0.012
459,460,0.02
461,581,0.009
463,408,0.022
463,470,0.004
464,360,0.017
464,465,0.004
465,461,0.016
466,454,0.012
467,468,0.01
468,463,0.011
469,467,0.009
470,585,0.009
471,474,0.01
472,471,0.011
472,505,0.01
473,494,0.011
474,338,0.012
474,475,0.003
475,337,0.012
476,527,0.006
478,482,0.012
479,478,0.004
480,479,0.006
480,559,0.003
482,510,0.003
482,511,0.011
483,487,0.006
483,489,0.011
484,575,0.008
485,484,0.011
486,488,0.001
487,490,0.002
488,485,0.009
489,486,0.006
489,570,0.025
491,579,0.029
492,491,0.017
492,576,0.019
493,525,0.008
494,493,0.011
497,501,0.011
498,571,0.016
499,574,0.009
500,495,0.007
500,506,0.009
501,502,0.014
502,564,0.028
504,503,0.023
505,551,0.012
506,472,0.011
506,554,0.008
506,562,0.008
507,473,0.007
508,509,0.002
509,480,0.003
510,512,0.01
511,520,0.009
512,513,0.025
515,483,0.009
516,517,0.003
518,560,0.012
520,519,0.007
520,521,0.006
521,447,0.009
522,500,0.004
522,523,0.003
525,394,0.006
525,526,0.004
526,449,0.004
527,529,0.005
528,582,0.017
529,552,0.002
530,573,0.019
531,499,0.007
532,530,0.006
533,534,0.011
534,531,0.014
535,532,0.007
535,536,0.019
536,537,0.008
537,538,0.01
537,539,0.008
537,543,0.006
538,533,0.014
