source,target,weight
60,334,0.499
31,328,0.321
6,7,0.0
50,310,0.37
12,13,0.0
7,318,0.399
47,335,0.375
56,330,0.535
94,325,0.32
38,320,0.436
19,332,0.53
35,316,0.348
38,317,0.384
271,275,0.0
17,58,0.0
5,325,0.374
47,298,0.578
67,183,0.324
34,329,0.331
42,317,0.429
4,322,0.368
21,305,0.377
23,305,0.398
55,313,0.453
57,331,0.529
59,314,0.509
8,328,0.392
66,143,0.331
22,303,0.349
199,322,0.35
162,298,0.359
21,332,0.561
11,331,0.425
15,54,0.0
43,321,0.541
94,321,0.341
99,321,0.351
47,313,0.395
50,339,0.33
54,332,0.495
18,331,0.546
234,298,0.337
33,321,0.41
204,322,0.319
74,82,0.0
41,327,0.461
51,328,0.504
4,197,0.0
191,297,0.0
55,309,0.381
23,319,0.704
55,337,0.389
43,326,0.493
156,233,0.0
21,330,0.592
24,303,0.376
12,321,0.557
14,307,0.324
20,324,0.666
94,323,0.336
20,320,0.673
43,325,0.516
14,339,0.331
31,327,0.345
62,338,0.451
18,325,0.639
69,312,0.54
303,304,0.0
249,287,0.0
99,324,0.331
41,298,0.528
35,326,0.387
17,319,0.616
23,317,0.658
200,321,0.358
18,298,0.682
46,327,0.503
29,318,0.331
12,325,0.533
2,321,0.341
4,298,0.394
35,321,0.431
23,335,0.532
16,334,0.444
36,319,0.4
255,297,0.0
244,249,0.0
15,339,0.348
62,298,0.734
68,320,0.742
43,331,0.429
23,181,0.34
63,329,0.597
74,81,0.0
17,298,0.665
0,183,0.369
45,331,0.464
51,323,0.579
53,329,0.523
22,181,0.326
65,305,0.371
48,325,0.518
62,334,0.52
62,341,0.396
185,186,0.0
17,305,0.326
48,322,0.529
65,330,0.586
47,325,0.537
23,314,0.585
61,326,0.627
114,321,0.323
55,324,0.603
52,326,0.571
51,326,0.538
47,332,0.423
201,321,0.355
69,298,0.758
24,320,0.735
23,144,0.325
51,327,0.532
41,330,0.405
5,317,0.332
7,322,0.434
242,275,0.0
27,322,0.348
115,323,0.321
52,312,0.43
19,326,0.629
161,298,0.358
0,321,0.777
68,318,0.704
23,145,0.324
25,321,0.338
184,224,0.0
54,319,0.609
258,297,0.0
31,318,0.347
60,333,0.532
21,313,0.531
20,304,0.34
65,337,0.457
60,298,0.711
67,181,0.326
22,321,0.72
64,317,0.653
121,170,0.0
24,332,0.6
62,312,0.517
319,323,0.0
52,321,0.621
208,321,0.327
58,323,0.665
52,327,0.566
11,328,0.456
24,327,0.696
9,313,0.334
20,337,0.445
308,338,0.0
24,312,0.551
67,344,0.344
69,322,0.726
16,341,0.328
56,329,0.56
57,335,0.45
14,312,0.41
43,337,0.317
6,330,0.323
9,320,0.476
294,297,0.0
57,332,0.501
33,318,0.364
48,337,0.318
20,303,0.327
154,293,0.0
4,321,0.38
48,327,0.49
20,333,0.529
313,333,0.0
199,323,0.356
65,343,0.35
53,316,0.519
194,210,0.0
45,318,0.525
44,334,0.342
67,334,0.522
69,323,0.734
61,312,0.481
0,333,0.609
62,339,0.43
38,323,0.446
200,324,0.338
45,327,0.524
40,316,0.383
3,4,0.0
14,334,0.412
54,308,0.377
15,334,0.431
24,346,0.325
62,321,0.717
32,321,0.386
10,323,0.506
68,346,0.33
32,326,0.344
197,325,0.337
50,332,0.454
20,344,0.322
7,36,0.0
24,179,0.343
147,299,0.0
25,27,0.0
24,223,0.328
15,331,0.502
24,302,0.361
58,328,0.585
70,315,0.628
42,321,0.499
28,321,0.349
43,327,0.488
52,324,0.596
105,321,0.333
34,325,0.386
21,316,0.614
42,312,0.325
36,316,0.346
9,312,0.319
62,303,0.346
60,317,0.616
65,326,0.655
43,324,0.517
56,336,0.422
61,342,0.343
64,327,0.675
19,307,0.391
49,330,0.459
199,326,0.321
46,320,0.54
24,326,0.702
21,342,0.372
35,298,0.445
12,328,0.476
41,320,0.496
110,212,0.0
15,307,0.341
15,319,0.587
161,320,0.331
249,279,0.0
67,335,0.515
59,328,0.571
19,340,0.384
21,309,0.454
64,316,0.633
126,298,0.318
17,312,0.456
21,329,0.617
69,336,0.501
59,319,0.624
55,312,0.436
56,316,0.556
69,315,0.617
23,324,0.712
68,340,0.453
37,319,0.426
4,323,0.374
64,323,0.726
22,341,0.399
328,329,0.0
53,298,0.629
94,322,0.33
64,334,0.534
54,335,0.445
59,313,0.48
152,291,0.0
110,121,0.0
23,310,0.492
70,308,0.472
99,322,0.339
16,329,0.541
105,322,0.321
3,318,0.32
16,331,0.515
33,329,0.332
20,325,0.665
76,205,0.0
61,335,0.476
49,298,0.587
9,333,0.348
24,298,0.77
38,315,0.348
24,325,0.726
68,313,0.576
215,297,0.0
14,314,0.454
80,298,0.319
61,304,0.329
67,338,0.453
202,320,0.337
60,343,0.341
45,326,0.53
41,323,0.506
49,313,0.403
59,331,0.538
17,320,0.631
18,314,0.517
311,335,0.0
16,321,0.633
6,315,0.321
95,205,0.0
32,320,0.371
218,259,0.0
12,318,0.506
23,343,0.376
203,323,0.336
61,319,0.644
45,308,0.324
102,210,0.0
47,337,0.335
35,331,0.329
16,328,0.548
24,310,0.506
40,318,0.42
17,325,0.623
37,328,0.379
20,308,0.419
36,329,0.349
42,316,0.412
197,323,0.353
54,59,0.0
50,328,0.514
27,201,0.0
23,180,0.339
5,321,0.396
249,280,0.0
54,311,0.425
35,323,0.425
35,330,0.331
53,340,0.33
19,312,0.483
60,337,0.448
20,339,0.409
48,314,0.404
52,323,0.614
47,314,0.422
70,342,0.404
68,333,0.594
21,303,0.343
44,332,0.381
66,145,0.326
53,333,0.457
66,301,0.333
38,319,0.423
11,322,0.522
11,321,0.536
33,317,0.345
64,328,0.644
15,316,0.524
53,338,0.362
67,308,0.443
55,323,0.62
299,346,0.0
19,341,0.365
63,330,0.572
61,341,0.364
44,315,0.407
58,338,0.412
19,306,0.372
19,327,0.623
59,329,0.564
39,334,0.318
11,312,0.356
70,317,0.672
61,310,0.439
162,320,0.331
68,322,0.746
68,325,0.733
47,323,0.556
38,326,0.408
18,306,0.361
107,322,0.327
249,264,0.0
64,344,0.354
62,310,0.474
5,33,0.0
69,311,0.513
112,323,0.321
13,323,0.57
63,344,0.321
66,182,0.345
8,315,0.363
36,327,0.38
132,323,0.33
67,314,0.567
53,54,0.0
61,315,0.556
10,329,0.427
17,342,0.321
99,206,0.0
154,295,0.0
14,319,0.566
132,321,0.335
148,259,0.0
27,107,0.0
302,345,0.0
62,322,0.702
41,319,0.482
16,311,0.417
67,303,0.349
65,313,0.525
86,210,0.0
17,318,0.594
165,205,0.0
57,306,0.346
24,145,0.336
60,309,0.439
12,315,0.444
85,210,0.0
48,334,0.364
68,182,0.361
12,336,0.341
